"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"HRZManta/726911277379431_853917406774943/726911277379431_853917406774943";"1152";"952";"2";"726911277379431_853917406774943";"empty";"";"fetched (200)";"2024-06-08 21:23:46.731130";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_853917406774943/726911277379431_853917406774943";"1153";"952";"2";"726911277379431_853917406774943";"offcut";"";"fetched (200)";"2024-06-08 21:23:46.731130";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_853917366774947";"953";"869";"1";"726911277379431_853917366774947";"data";"data.*";"fetched (200)";"2024-06-08 21:20:39.793890";"Facebook:/<page-id>/posts";"";"2024-05-06T14:21:48+0000";"";"";""
"HRZManta/726911277379431_853917366774947/726911277379431_853917366774947";"1154";"953";"2";"726911277379431_853917366774947";"empty";"";"fetched (200)";"2024-06-08 21:23:47.061514";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_853917366774947/726911277379431_853917366774947";"1155";"953";"2";"726911277379431_853917366774947";"offcut";"";"fetched (200)";"2024-06-08 21:23:47.061514";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_853917346774949";"954";"869";"1";"726911277379431_853917346774949";"data";"data.*";"fetched (200)";"2024-06-08 21:20:39.793890";"Facebook:/<page-id>/posts";"";"2024-05-06T14:21:45+0000";"";"";""
"HRZManta/726911277379431_853917346774949/726911277379431_853917346774949";"1156";"954";"2";"726911277379431_853917346774949";"empty";"";"fetched (200)";"2024-06-08 21:23:47.402452";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_853917346774949/726911277379431_853917346774949";"1157";"954";"2";"726911277379431_853917346774949";"offcut";"";"fetched (200)";"2024-06-08 21:23:47.402452";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_851575127009171";"955";"869";"1";"726911277379431_851575127009171";"data";"data.*";"fetched (200)";"2024-06-08 21:20:39.793890";"Facebook:/<page-id>/posts";"";"2024-05-03T00:59:01+0000";"";"";""
"HRZManta/726911277379431_851575127009171/726911277379431_851575127009171";"1158";"955";"2";"726911277379431_851575127009171";"empty";"";"fetched (200)";"2024-06-08 21:23:47.745154";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_851575127009171/726911277379431_851575127009171";"1159";"955";"2";"726911277379431_851575127009171";"offcut";"";"fetched (200)";"2024-06-08 21:23:47.745154";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_851352407031443";"956";"869";"1";"726911277379431_851352407031443";"data";"data.*";"fetched (200)";"2024-06-08 21:20:39.793890";"Facebook:/<page-id>/posts";"";"2024-05-02T16:01:43+0000";"";"";""
"HRZManta/726911277379431_851352407031443/726911277379431_851352407031443";"1160";"956";"2";"726911277379431_851352407031443";"empty";"";"fetched (200)";"2024-06-08 21:23:48.129077";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_851352407031443/726911277379431_851352407031443";"1161";"956";"2";"726911277379431_851352407031443";"offcut";"";"fetched (200)";"2024-06-08 21:23:48.129077";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_851319807034703";"957";"869";"1";"726911277379431_851319807034703";"data";"data.*";"fetched (200)";"2024-06-08 21:20:39.793890";"Facebook:/<page-id>/posts";"";"2024-05-02T14:58:01+0000";"";"";""
